ROOT_MEM_NAME	TYPE	NUM_FRAMES	PARTS	BOX_SIZE	STATIC	SKIP_IMPORT	BITDEPTH	paletteRef	DITHER	IMPORT_SIZE	imageCompression	imageQuality	MATTE_OUT_EDGES	DUMMY_COLOR	
common_gui_challenge_title_you_won	common	1	[]	[382, 18]	1	0	16	systemWin	0	[382, 18]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_challenge_won_bkg	common	1	[]	[397, 36]	1	0	16	systemWin	0	[397, 36]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_char_charCombo	common	1	[]	[180, 280]	1	0	16	systemWin	1	[180, 280]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_gui_charAttributes_blend	common	1	[]	[181, 293]	1	0	8	systemWin	0	[181, 293]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charAttributes_header	common	1	[]	[183, 28]	1	0	16	systemWin	0	[183, 28]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charAttributes_key	common	1	[]	[172, 11]	1	0	16	systemWin	0	[172, 11]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charAttributes_parts_display	common	1	[]	[70, 18]	1	0	16	systemWin	0	[70, 18]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charAttributes_stat_display	common	1	[]	[70, 14]	1	0	16	systemWin	0	[70, 14]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charAttributes_stats	common	1	[]	[67, 215]	1	0	16	systemWin	0	[67, 215]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charAttributes_stroke	common	1	[]	[183, 294]	1	0	1	systemWin	0	[183, 294]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charAttributes_tab_history	common	3	[#down, #OVER, #UP]	[134, 26]	1	0	16	systemWin	0	[134, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charAttributes_tab_inventory	common	3	[#down, #OVER, #UP]	[96, 26]	1	0	16	systemWin	0	[96, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charAttributes_tab_stats	common	3	[#down, #OVER, #UP]	[110, 26]	1	0	16	systemWin	0	[110, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charAttributes_viewer_frame	common	1	[]	[373, 394]	1	0	16	systemWin	0	[373, 394]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charCreator_arms_but_icon1	common	1	[]	[59, 59]	1	0	16	systemWin	1	[59, 59]	movieSetting	60	0	rgb( 255, 0, 0 )	
common_gui_charCreator_arms_but_icon2	common	1	[]	[59, 59]	1	0	16	systemWin	1	[59, 59]	movieSetting	60	0	rgb( 255, 0, 0 )	
common_gui_charCreator_arms_but_icon3	common	1	[]	[59, 59]	1	0	16	systemWin	1	[59, 59]	movieSetting	60	0	rgb( 255, 0, 0 )	
common_gui_charCreator_arms_but_icon4	common	1	[]	[59, 59]	1	0	16	systemWin	1	[59, 59]	movieSetting	60	0	rgb( 255, 0, 0 )	
common_gui_charCreator_arms_but_icon5	common	1	[]	[59, 59]	1	0	16	systemWin	1	[59, 59]	movieSetting	60	0	rgb( 255, 0, 0 )	
common_gui_charCreator_but_save	common	3	[#down, #OVER, #UP]	[198, 26]	1	0	16	systemWin	0	[198, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charCreator_choose_arms	common	1	[]	[189, 18]	1	0	16	systemWin	0	[189, 18]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charCreator_choose_legs	common	1	[]	[189, 18]	1	0	16	systemWin	0	[189, 18]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charCreator_choose_species	common	1	[]	[189, 18]	1	0	16	systemWin	0	[189, 18]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charCreator_help_bevel	common	1	[]	[315, 288]	1	0	16	systemWin	0	[315, 288]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charCreator_legs_but_icon1	common	1	[]	[59, 59]	1	0	16	systemWin	1	[59, 59]	movieSetting	60	0	rgb( 255, 0, 0 )	
common_gui_charCreator_legs_but_icon2	common	1	[]	[59, 59]	1	0	16	systemWin	1	[59, 59]	movieSetting	60	0	rgb( 255, 0, 0 )	
common_gui_charCreator_legs_but_icon3	common	1	[]	[59, 59]	1	0	16	systemWin	1	[59, 59]	movieSetting	60	0	rgb( 255, 0, 0 )	
common_gui_charCreator_legs_but_icon4	common	1	[]	[59, 59]	1	0	16	systemWin	1	[59, 59]	movieSetting	60	0	rgb( 255, 0, 0 )	
common_gui_charCreator_legs_but_icon5	common	1	[]	[59, 59]	1	0	16	systemWin	1	[59, 59]	movieSetting	60	0	rgb( 255, 0, 0 )	
common_gui_charCreator_parts_bevel	common	1	[]	[315, 217]	1	0	16	systemWin	0	[315, 217]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charCreator_species_but_icon1	common	1	[]	[59, 59]	1	0	16	systemWin	1	[59, 59]	movieSetting	60	0	rgb( 255, 0, 0 )	
common_gui_charCreator_species_but_icon2	common	1	[]	[59, 59]	1	0	16	systemWin	1	[59, 59]	movieSetting	60	0	rgb( 255, 0, 0 )	
common_gui_charCreator_species_but_icon3	common	1	[]	[59, 59]	1	0	16	systemWin	1	[59, 59]	movieSetting	60	0	rgb( 255, 0, 0 )	
common_gui_charCreator_species_but_icon4	common	1	[]	[59, 59]	1	0	16	systemWin	1	[59, 59]	movieSetting	60	0	rgb( 255, 0, 0 )	
common_gui_charCreator_species_but_icon5	common	1	[]	[59, 59]	1	0	16	systemWin	1	[59, 59]	movieSetting	60	0	rgb( 255, 0, 0 )	
common_gui_charCreator_tab_arms	common	3	[#down, #OVER, #UP]	[92, 30]	1	0	16	systemWin	0	[92, 30]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charCreator_tab_help	common	3	[#down, #OVER, #UP]	[52, 30]	1	0	16	systemWin	0	[52, 30]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charCreator_tab_legs	common	3	[#down, #OVER, #UP]	[87, 30]	1	0	16	systemWin	0	[87, 30]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charCreator_tab_species	common	3	[#down, #OVER, #UP]	[101, 30]	1	0	16	systemWin	0	[101, 30]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charCreator_thumbnail_button	common	3	[#down, #OVER, #UP]	[59, 59]	1	0	16	systemWin	0	[59, 59]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charCreator_window_bkgd	common	1	[]	[744, 414]	1	0	16	systemWin	1	[744, 414]	jpeg	60	1	rgb( 255, 0, 0 )	
common_gui_charHistory_expand_bkgd	common	1	[]	[281, 211]	1	0	16	systemWin	0	[281, 211]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charHistory_resultsBkg	common	1	[]	[53, 20]	1	0	16	systemWin	0	[53, 20]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charInventory_bkgd	common	1	[#top_bottom]	[281, 32]	1	0	16	systemWin	1	[281, 32]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charInventory_blend	common	1	[]	[326, 295]	1	0	8	systemWin	0	[326, 295]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charInventory_expand_bkg	common	1	[]	[281, 211]	1	0	16	systemWin	0	[281, 211]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charInventory_item_bkgd	common	4	[#DEACTIVE, #down, #OVER, #UP]	[281, 28]	1	0	16	systemWin	0	[281, 28]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charInventory_item_expand	common	1	[#UP]	[281, 211]	1	0	16	systemWin	0	[281, 211]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charInventory_item_goggles	common	1	[]	[21, 19]	1	0	16	systemWin	1	[21, 19]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_gui_charInventory_item_grapple	common	1	[]	[21, 19]	1	0	16	systemWin	1	[21, 19]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_gui_charInventory_item_lasercutter	common	1	[]	[21, 19]	1	0	16	systemWin	1	[21, 19]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_gui_charInventory_item_map	common	1	[]	[21, 19]	1	0	16	systemWin	1	[21, 19]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_gui_charInventory_item_quest	common	1	[]	[21, 19]	1	0	16	systemWin	1	[21, 19]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_gui_charInventory_item_quorium	common	1	[]	[21, 19]	1	0	16	systemWin	1	[21, 19]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_gui_charInventory_stroke	common	1	[]	[325, 295]	1	0	1	systemWin	0	[325, 295]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_charShadow	common	1	[]	[150, 41]	1	0	8	systemWin	0	[150, 41]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_credits_creditSpace	common	1	[]	[326, 238]	1	0	16	systemWin	1	[326, 238]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_credits_gamekitchen	common	1	[]	[326, 45]	1	0	16	systemWin	1	[326, 45]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_credits_names	common	1	[]	[326, 300]	1	0	16	systemWin	1	[326, 300]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_cursor	common	4	[#closed, #maskclosed, #maskopen, #open]	[18, 18]	1	0	1	systemWin	0	[18, 18]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_header	common	1	[]	[183, 28]	1	0	16	systemWin	0	[183, 28]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_but_credits	common	3	[#down, #OVER, #UP]	[102, 26]	1	0	16	systemWin	1	[102, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_but_questions	common	3	[#down, #OVER, #UP]	[104, 26]	1	0	16	systemWin	1	[104, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_large_arena	common	1	[]	[66, 66]	1	0	16	systemWin	1	[66, 66]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_large_challenge	common	1	[]	[66, 66]	1	0	16	systemWin	1	[66, 66]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_large_containment	common	1	[]	[66, 66]	1	0	16	systemWin	1	[66, 66]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_large_exclamation	common	1	[]	[66, 66]	1	0	16	systemWin	1	[66, 66]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_large_exit	common	1	[]	[66, 66]	1	0	16	systemWin	1	[66, 66]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_large_inventory	common	1	[]	[66, 66]	1	0	16	systemWin	1	[66, 66]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_large_levels	common	1	[]	[66, 66]	1	0	16	systemWin	1	[66, 66]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_large_offline_history	common	1	[]	[66, 66]	1	0	16	systemWin	1	[66, 66]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_large_questmap	common	1	[]	[66, 66]	1	0	16	systemWin	1	[66, 66]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_large_save	common	1	[]	[66, 66]	1	0	16	systemWin	1	[66, 66]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_large_stats	common	1	[]	[66, 66]	1	0	16	systemWin	1	[66, 66]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_large_vkey	common	1	[]	[66, 66]	1	0	16	systemWin	1	[66, 66]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_large_xkey	common	1	[]	[66, 66]	1	0	16	systemWin	1	[66, 66]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_small_arena	common	1	[]	[37, 24]	1	0	16	systemWin	1	[37, 24]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_small_exclamation	common	1	[]	[37, 24]	1	0	16	systemWin	1	[37, 24]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_small_exit	common	1	[]	[37, 24]	1	0	16	systemWin	1	[37, 24]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_small_levels	common	1	[]	[37, 24]	1	0	16	systemWin	1	[37, 24]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_small_save	common	1	[]	[37, 24]	1	0	16	systemWin	1	[37, 24]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_small_stats	common	1	[]	[37, 24]	1	0	16	systemWin	1	[37, 24]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_small_vkey	common	1	[]	[37, 24]	1	0	16	systemWin	1	[37, 24]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_help_small_xkey	common	1	[]	[37, 24]	1	0	16	systemWin	1	[37, 24]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_interface	common	4	[#bottom, #left, #right, #top]	[770, 357]	1	1	16	systemWin	1	[770, 357]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_level_meter_bkgd	common	1	[]	[6, 19]	1	0	16	systemWin	0	[6, 19]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_level_meter_overlay	common	1	[]	[6, 19]	1	0	16	systemWin	0	[6, 19]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_meters	common	3	[#playername, #stats]	[192, 28]	1	0	16	systemWin	0	[192, 28]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_panel_btns_bkg	common	1	[]	[376, 22]	1	0	16	systemWin	1	[376, 22]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_panel_btns_but_help	common	4	[#DEACTIVE, #down, #OVER, #UP]	[106, 21]	1	0	16	systemWin	1	[106, 21]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_panel_btns_but_player	common	4	[#DEACTIVE, #down, #OVER, #UP]	[132, 21]	1	0	16	systemWin	1	[132, 21]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_panel_btns_but_questmap	common	4	[#DEACTIVE, #down, #OVER, #UP]	[153, 21]	1	0	16	systemWin	1	[153, 21]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_panel_btns_help	common	4	[#DEACTIVE, #down, #OVER, #UP]	[1, 1]	1	0	16	systemWin	1	[1, 1]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_panel_btns_questmap	common	4	[#DEACTIVE, #down, #OVER, #UP]	[1, 1]	1	0	16	systemWin	1	[1, 1]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_persistent_alert_bkg	common	1	[]	[394, 122]	1	0	16	systemWin	1	[394, 122]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_questMap_but_close	common	3	[#down, #OVER, #UP]	[93, 19]	1	0	16	systemWin	1	[93, 19]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_questMap_frame	common	1	[]	[743, 414]	1	0	16	systemWin	0	[743, 414]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_questMap_icons_arena	common	2	[#off, #on]	[13, 15]	1	0	16	systemWin	0	[13, 15]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_questMap_icons_note	common	2	[#off, #on]	[13, 15]	1	0	16	systemWin	0	[13, 15]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_questMap_icons_player	common	1	[#on]	[13, 15]	1	0	16	systemWin	0	[13, 15]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_questMap_icons_quest	common	2	[#off, #on]	[13, 15]	1	0	16	systemWin	0	[13, 15]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_questMap_icons_rewards	common	2	[#off, #on]	[13, 15]	1	0	16	systemWin	0	[13, 15]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_questMap_icons_task	common	2	[#off, #on]	[13, 15]	1	0	16	systemWin	0	[13, 15]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_questMap_item_expand	common	1	[#UP]	[281, 132]	1	0	16	systemWin	0	[281, 132]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_questMap_key_blend	common	1	[]	[234, 43]	1	0	8	systemWin	0	[234, 43]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_questMap_key_header	common	1	[]	[225, 44]	1	0	16	systemWin	0	[225, 44]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_questMap_key_labels	common	1	[]	[197, 23]	1	0	16	systemWin	0	[197, 23]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_questMap_key_lables	common	1	[]	[1, 1]	1	0	16	systemWin	1	[1, 1]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_questMap_key_stroke	common	1	[]	[235, 44]	1	0	1	systemWin	0	[235, 44]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_questMap_task_blend	common	1	[]	[328, 248]	1	0	8	systemWin	0	[328, 248]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_questMap_task_header	common	1	[]	[328, 43]	1	0	16	systemWin	0	[328, 43]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_questMap_task_stroke	common	1	[]	[328, 247]	1	0	1	systemWin	0	[328, 247]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_scrollbar_but_next	common	2	[#down, #UP]	[17, 18]	1	0	16	systemWin	0	[17, 18]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_scrollbar_but_prev	common	2	[#down, #UP]	[17, 18]	1	0	16	systemWin	0	[17, 18]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_scrollbar_but_slider	common	2	[#down, #UP]	[17, 27]	1	0	16	systemWin	0	[17, 27]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_scrollbar_large_scrollbkg	common	1	[]	[13, 257]	1	0	16	systemWin	0	[13, 257]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_scrollbar_small_scrollbkg	common	1	[]	[13, 190]	1	0	16	systemWin	0	[13, 190]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_stat_icons	common	6	[]	[19, 19]	1	0	16	systemWin	0	[19, 19]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_stroke	common	1	[]	[183, 294]	1	0	1	systemWin	0	[183, 294]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_blend_large	common	1	[]	[179, 294]	1	0	8	systemWin	0	[179, 294]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_blend_small	common	1	[]	[137, 137]	1	0	8	systemWin	0	[137, 137]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_but_continue	common	3	[#down, #OVER, #UP]	[123, 26]	1	0	16	systemWin	0	[123, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_but_letsgo	common	3	[#down, #OVER, #UP]	[123, 26]	1	0	16	systemWin	0	[123, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_but_noway	common	3	[#down, #OVER, #UP]	[123, 26]	1	0	16	systemWin	0	[123, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_charHeader	common	1	[]	[179, 28]	1	0	16	systemWin	0	[179, 28]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_header	common	1	[]	[345, 28]	1	0	16	systemWin	0	[345, 28]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_sliding_bottom	common	1	[]	[364, 246]	1	0	16	systemWin	1	[364, 246]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_sliding_top	common	1	[]	[362, 211]	1	0	16	systemWin	0	[362, 211]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_stroke_large	common	1	[]	[179, 294]	1	0	1	systemWin	0	[179, 294]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_stroke_small	common	1	[]	[139, 139]	1	0	1	systemWin	0	[139, 139]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_task_top	common	1	[]	[392, 52]	1	0	16	systemWin	0	[392, 52]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_title_agility	common	1	[]	[306, 14]	1	0	16	systemWin	0	[306, 14]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_title_blank	common	1	[]	[306, 14]	1	0	16	systemWin	0	[306, 14]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_title_brains	common	1	[]	[306, 14]	1	0	16	systemWin	0	[306, 14]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_title_challenged	common	1	[]	[306, 14]	1	0	16	systemWin	0	[306, 14]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_title_charm	common	1	[]	[306, 14]	1	0	16	systemWin	0	[306, 14]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_title_endurance	common	1	[]	[306, 14]	1	0	16	systemWin	0	[306, 14]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_title_power	common	1	[]	[306, 14]	1	0	16	systemWin	0	[306, 14]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_title_speed	common	1	[]	[306, 14]	1	0	16	systemWin	0	[306, 14]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_title_youdidit	common	1	[]	[306, 14]	1	0	16	systemWin	0	[306, 14]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_task_frame	common	1	[]	[370, 409]	1	0	16	systemWin	0	[370, 409]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_viewer_frame	common	1	[]	[373, 394]	1	0	16	systemWin	0	[373, 394]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_zone_transition	common	3	[#bottom, #right, #top]	[577, 414]	1	0	16	systemWin	0	[577, 414]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_arbo_gui_map_arbo_bkg	common_arbo	1	[]	[739, 410]	1	0	16	systemWin	1	[739, 410]	jpeg	60	1	rgb( 255, 0, 0 )	
common_arbo_gui_map_boges	common_arbo	5	[#down, #Header, #OVER, #title, #UP]	[268, 35]	1	0	16	systemWin	1	[268, 35]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_arbo_gui_map_caverns	common_arbo	5	[#down, #Header, #OVER, #title, #UP]	[268, 30]	1	0	16	systemWin	1	[268, 30]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_arbo_gui_map_drakmeers	common_arbo	5	[#down, #Header, #OVER, #title, #UP]	[268, 31]	1	0	16	systemWin	1	[268, 31]	movieSetting	80	0	rgb( 255, 0, 0 )	
