ROOT_MEM_NAME	TYPE	NUM_FRAMES	PARTS	BOX_SIZE	STATIC	HEIGHT	SCRIPT_NAME	SKIP_IMPORT	
common_gui_questMap_screengrab	common	1	[]	770, 440	1	1	ActionZoneElement	0	
common_gui_questMap_screengrab_xpand	common	1	[]	770, 440	1	1	ActionZoneElement	0	
common_gui_questMap_task_blend	common	1	[]	328, 248	1	1	ActionZoneElement	0	
common_gui_questMap_task_header	common	1	[]	328, 43	1	1	ActionZoneElement	0	
common_gui_questMap_task_stroke	common	1	[]	328, 247	1	1	ActionZoneElement	0	
common_gui_screengrab_interface	common	1	[]	770, 440	1	1	ActionZoneElement	0	
common_gui_scrollbar_but_next	common	2	[#down, #UP]	17, 18	1	1	ActionZoneElement	0	
common_gui_scrollbar_but_prev	common	2	[#down, #UP]	17, 18	1	1	ActionZoneElement	0	
common_gui_scrollbar_but_slider	common	2	[#down, #UP]	17, 27	1	1	ActionZoneElement	0	
common_gui_scrollbar_large_scrollbkg	common	1	[]	13, 257	1	1	ActionZoneElement	0	
common_gui_scrollbar_small_scrollbkg	common	1	[]	13, 190	1	1	ActionZoneElement	0	
common_gui_stat_icons	common	6	[]	19, 19	1	1	ActionZoneElement	0	
common_gui_stroke	common	1	[]	183, 294	1	1	ActionZoneElement	0	
common_gui_task_blend_large	common	1	[]	179, 294	1	1	ActionZoneElement	0	
common_gui_task_blend_small	common	1	[]	137, 137	1	1	ActionZoneElement	0	
common_gui_task_but_continue	common	3	[#down, #OVER, #UP]	123, 26	1	1	ActionZoneElement	0	
common_gui_task_but_letsgo	common	3	[#down, #OVER, #UP]	123, 26	1	1	ActionZoneElement	0	
common_gui_task_but_noway	common	3	[#down, #OVER, #UP]	123, 26	1	1	ActionZoneElement	0	
common_gui_task_charHeader	common	1	[]	179, 28	1	1	ActionZoneElement	0	
common_gui_task_header	common	1	[]	345, 28	1	1	ActionZoneElement	0	
common_gui_task_screengrab_process	common	1	[]	770, 440	1	1	ActionZoneElement	0	
common_gui_task_screengrab_success	common	1	[]	770, 440	1	1	ActionZoneElement	0	
common_gui_task_screengrab_task	common	1	[]	770, 440	1	1	ActionZoneElement	0	
common_gui_task_sliding_botttom	common	1	[]	364, 246	1	1	ActionZoneElement	0	
common_gui_task_sliding_top	common	1	[]	362, 211	1	1	ActionZoneElement	0	
common_gui_task_stroke_large	common	1	[]	179, 295	1	1	ActionZoneElement	0	
common_gui_task_stroke_small	common	1	[]	139, 139	1	1	ActionZoneElement	0	
common_gui_task_task_top	common	1	[]	392, 52	1	1	ActionZoneElement	0	
common_gui_task_title_blank	common	1	[]	306, 14	1	1	ActionZoneElement	0	
common_gui_task_title_challenged	common	1	[]	306, 14	1	1	ActionZoneElement	0	
common_gui_task_title_strong	common	1	[]	306, 14	1	1	ActionZoneElement	0	
common_gui_task_title_youdidit	common	1	[]	306, 14	1	1	ActionZoneElement	0	
common_gui_task_frame	common	1	[]	370, 409	1	1	ActionZoneElement	0	
common_gui_viewer_frame	common	1	[]	373, 394	1	1	ActionZoneElement	0	
common_gui_zone_transition	common	4	[#bottom, #right, #top, #creengrab]	770, 440	1	1	ActionZoneElement	0	
common_arbo_gui_map_boges	common_arbo	5	[#down, #header, #OVER, #title, #UP]	100, 25	1	1	ActionZoneElement	0	
common_arbo_gui_map_caverns	common_arbo	5	[#down, #header, #OVER, #title, #UP]	100, 25	1	1	ActionZoneElement	0	
common_arbo_gui_map_drakmeers	common_arbo	5	[#down, #header, #OVER, #title, #UP]	100, 25	1	1	ActionZoneElement	0	
common_arbo_gui_map_dreejalvin	common_arbo	3	[#down, #OVER, #UP]	132, 11	1	1	ActionZoneElement	0	
common_arbo_gui_map_eltasiktar	common_arbo	3	[#down, #OVER, #UP]	122, 10	1	1	ActionZoneElement	0	
common_arbo_gui_map_euripedes	common_arbo	5	[#down, #header, #OVER, #title, #UP]	100, 25	1	1	ActionZoneElement	0	
common_arbo_gui_map_header	common_arbo	1	[]	186, 23	1	1	ActionZoneElement	0	
common_arbo_gui_map_jungle	common_arbo	5	[#down, #header, #OVER, #title, #UP]	100, 25	1	1	ActionZoneElement	0	
common_arbo_gui_map_kek	common_arbo	3	[#down, #OVER, #UP]	55, 10	1	1	ActionZoneElement	0	
common_arbo_gui_map_miningcamp	common_arbo	5	[#down, #header, #OVER, #title, #UP]	100, 25	1	1	ActionZoneElement	0	
common_arbo_gui_map_quest	common_arbo	5	[#down, #header, #OVER, #title, #UP]	100, 25	1	1	ActionZoneElement	0	
common_arbo_gui_map_screengrab	common_arbo	1	[]	755, 440	1	1	ActionZoneElement	0	
common_arbo_gui_map_slavecamp	common_arbo	5	[#down, #header, #OVER, #title, #UP]	100, 25	1	1	ActionZoneElement	0	
common_arbo_gui_map_village	common_arbo	5	[#down, #header, #OVER, #title, #UP]	100, 25	1	1	ActionZoneElement	0	
common_arbo_gui_panel_bkgds	common_arbo	8	[#arena, #arena_brains, #arena_power, #arena_speed, #cave, #drakmeers, #jungle, #quest]	370, 388	1	1	ActionZoneElement	0	
common_arbo_gui_taskcard_arbo_riddle	taskCard	1	[]	137, 137	1	1	ActionZoneElement	0	
common_arbo_gui_taskcard_euripedes_entrance	taskCard	1	[]	137, 137	1	1	ActionZoneElement	0	
common_arbo_gui_taskcard_free_prisoner	taskCard	1	[]	137, 137	1	1	ActionZoneElement	0	
common_arbo_gui_taskcard_haul_junk	taskCard	1	[]	137, 137	1	1	ActionZoneElement	0	
common_arbo_gui_taskcard_mazepedestal	taskCard	1	[]	137, 137	1	1	ActionZoneElement	0	
common_arbo_gui_taskcard_see_prisoner	taskCard	1	[]	137, 137	1	1	ActionZoneElement	0	
common_arbo_gui_taskcard_taskmaster_threat	taskCard	1	[]	137, 137	1	1	ActionZoneElement	0	
common_arbo_gui_taskcard_taskmaster_warning	taskCard	1	[]	137, 137	1	1	ActionZoneElement	0	
common_arbo_gui_taskcard_vilda	taskCard	1	[]	137, 137	1	1	ActionZoneElement	0	
common_arbo_gui_taskcard_zoron_statues	taskCard	1	[]	137, 137	1	1	ActionZoneElement	0	
