ROOT_MEM_NAME	TYPE	NUM_FRAMES	PARTS	BOX_SIZE	STATIC	MASS	HEIGHT	SCRIPT_NAME	SKIP_IMPORT	BITDEPTH	paletteRef	DITHER	IMPORT_SIZE	imageCompression	imageQuality	MATTE_OUT_EDGES	DUMMY_COLOR	
arbo_drakmeer_lgchute	arbo_drakmeer	6	[]	[50, 103]	1	5	1	ActionZoneElement	0	16	systemWin	1	[50, 103]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_drakmeer_medchute	arbo_drakmeer	6	[]	[57, 78]	1	5	1	ActionZoneElement	0	16	systemWin	1	[57, 78]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_drakmeer_smallchute	arbo_drakmeer	6	[]	[50, 46]	1	5	1	ActionZoneElement	0	16	systemWin	1	[50, 46]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_drakmeer_vilda	arbo_drakmeer	7	[]	[41, 43]	1	5	1	ActionZoneElement	0	16	systemWin	1	[41, 43]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_euripides_bkg	BKGRND	4	[#heightmap, #mask, #maskmask, #visual]	[3080, 440]	1	5	1	ActionZoneBackground	0	16	systemWin	1	[3080, 440]	jpeg	81	0	rgb( 255, 0, 0 )	
arbo_euripides_bridge	arbo_euripides	1	[]	[308, 233]	1	5	1	ActionZoneElement	0	16	systemWin	1	[308, 233]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_euripides_zoron_cover	arbo_euripides	1	[]	[350, 243]	1	5	1	ActionZoneElement	0	16	systemWin	1	[350, 243]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_euripides_zoronbreath	arbo_euripides	6	[]	[67, 68]	1	5	1	ActionZoneElement	0	16	systemWin	0	[67, 68]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_jungle_birdsflying	arbo_jungle	1	[]	[34, 35]	1	5	1	ActionZoneElement	0	16	systemWin	1	[34, 35]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_jungle_bkg	BKGRND	2	[#heightmap, #visual]	[1540, 880]	1	5	1	ActionZoneBackground	0	16	systemWin	1	[1540, 880]	jpeg	81	0	rgb( 255, 0, 0 )	
arbo_jungle_branch_extender	arbo_jungle	1	[]	[64, 61]	1	5	1	ActionZoneElement	0	16	systemWin	1	[64, 61]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_jungle_eyesindark	arbo_jungle	1	[]	[44, 27]	1	5	1	ActionZoneElement	0	16	systemWin	1	[44, 27]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_jungle_island	arbo_jungle	1	[]	[45, 48]	1	5	1	ActionZoneElement	0	16	systemWin	1	[45, 48]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_jungle_quicksandbeast	arbo_jungle	1	[]	[80, 69]	1	5	1	ActionZoneElement	0	16	systemWin	1	[80, 69]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_jungle_quicksandbub	arbo_jungle	8	[]	[48, 48]	1	5	1	ActionZoneElement	0	16	systemWin	1	[48, 48]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_jungle_snake	arbo_jungle	1	[]	[33, 20]	1	5	1	ActionZoneElement	0	16	systemWin	1	[33, 20]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_miningcamp_arena	BKGRND	2	[#heightmap, #visual]	[770, 440]	1	5	1	ActionZoneBackground	0	16	systemWin	1	[770, 440]	jpeg	80	0	rgb( 255, 0, 0 )	
arbo_miningcamp_bkg	BKGRND	2	[#heightmap, #visual]	[1540, 880]	1	5	1	ActionZoneBackground	0	16	systemWin	1	[1540, 880]	jpeg	80	0	rgb( 255, 0, 0 )	
arbo_miningcamp_canopy	arbo_miningcamp	1	[]	[181, 139]	1	5	1	ActionZoneElement	0	16	systemWin	1	[181, 139]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_miningcamp_mining_bridge1	arbo_miningcamp	1	[]	[102, 104]	1	5	1	ActionZoneElement	0	16	systemWin	1	[102, 104]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_miningcamp_mining_bridge2	arbo_miningcamp	1	[]	[97, 99]	1	5	1	ActionZoneElement	0	16	systemWin	1	[97, 99]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_miningcamp_mining_bridge3	arbo_miningcamp	1	[]	[113, 41]	1	5	1	ActionZoneElement	0	16	systemWin	1	[113, 41]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_miningcamp_qoro_wok	arbo_miningcamp	1	[]	[40, 40]	1	5	1	ActionZoneElement	0	16	systemWin	1	[40, 40]	movieSetting	0	0	rgb( 255, 0, 0 )	
arbo_miningcamp_qorovat	arbo_miningcamp	9	[]	[48, 48]	1	5	1	ActionZoneElement	0	16	systemWin	1	[48, 48]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_miningcamp_Quoro_Collector	arbo_miningcamp	1	[]	[60, 60]	1	5	1	ActionZoneElement	0	16	systemWin	1	[60, 60]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_miningcamp_quoru_drop_dummy	arbo_miningcamp	1	[]	[15, 15]	1	5	1	ActionZoneElement	0	16	systemWin	1	[15, 15]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_miningcamp_random_miner	arbo_miningcamp	7	[]	[31, 21]	1	5	1	ActionZoneElement	0	16	systemWin	1	[31, 21]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_miningcamp_rooftop1	arbo_miningcamp	1	[]	[60, 145]	1	5	1	ActionZoneElement	0	16	systemWin	1	[60, 145]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_miningcamp_rooftop2	arbo_miningcamp	1	[]	[251, 270]	1	5	1	ActionZoneElement	0	16	systemWin	1	[251, 270]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_miningcamp_score_blank	arbo_miningcamp	1	[]	[51, 51]	1	5	1	ActionZoneElement	0	16	systemWin	1	[51, 51]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_miningcamp_trapped_miner	arbo_miningcamp	8	[]	[69, 59]	1	5	1	ActionZoneElement	0	16	systemWin	1	[69, 59]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_quest_assignment_bkg	BKGRND	2	[#heightmap, #visual]	[770, 700]	1	5	1	ActionZoneBackground	0	16	systemWin	1	[770, 700]	jpeg	81	0	rgb( 255, 0, 0 )	
arbo_quest_assignment_block	arbo_quest_assignment	1	[]	[52, 56]	1	5	1	ActionZoneElement	0	16	systemWin	1	[52, 56]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_quest_assignment_item_throwingobject	arbo_quest_assignment	1	[]	[21, 19]	1	5	1	ActionZoneElement	0	16	systemWin	1	[21, 19]	movieSetting	0	0	rgb( 255, 0, 0 )	
arbo_quest_assignment_table	arbo_quest_assignment	1	[]	[31, 111]	1	5	1	ActionZoneElement	0	16	systemWin	1	[31, 111]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_slavecamp_bkg	BKGRND	2	[#heightmap, #visual]	[770, 1320]	1	5	1	ActionZoneBackground	0	16	systemWin	1	[770, 1320]	jpeg	81	0	rgb( 255, 0, 0 )	
arbo_slavecamp_bridge	arbo_slavecamp	1	[]	[91, 134]	1	5	1	ActionZoneElement	0	16	systemWin	1	[91, 134]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_slavecamp_hut	arbo_slavecamp	1	[]	[77, 77]	1	5	1	ActionZoneElement	0	16	systemWin	1	[77, 77]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_slavecamp_taskmaster	arbo_slavecamp	1	[]	[100, 100]	1	5	5	ActionZoneElement	0	16	systemWin	1	[100, 100]	movieSetting	0	0	rgb( 255, 0, 0 )	
arbo_slavecamp_taskmaster_boge	arbo_slavecamp	1	[]	[30, 30]	1	5	1	ActionZoneElement	0	16	systemWin	1	[30, 30]	movieSetting	0	0	rgb( 255, 0, 0 )	
arbo_village_arena	BKGRND	2	[#heightmap, #visual]	[770, 440]	1	5	1	ActionZoneBackground	0	16	systemWin	1	[770, 440]	jpeg	81	0	rgb( 255, 0, 0 )	
arbo_village_bkg	BKGRND	6	[#altmask, #altmaskmask, #heightmap, #mask, #maskmask, #visual]	[1540, 880]	1	5	1	ActionZoneBackground	0	16	systemWin	1	[1540, 880]	jpeg	81	0	rgb( 255, 0, 0 )	
arbo_village_fruitman	arbo_village	1	[]	[44, 40]	1	5	1	ActionZoneElement	0	16	systemWin	1	[44, 40]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_village_group_kids_1	arbo_village	1	[]	[117, 40]	1	5	1	ActionZoneElement	0	16	systemWin	1	[117, 40]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_village_maze_boulder1	arbo_village	1	[]	[46, 46]	1	5	1	ActionZoneElement	0	16	systemWin	1	[46, 46]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_village_maze_boulder2	arbo_village	1	[]	[35, 35]	1	5	1	ActionZoneElement	0	16	systemWin	1	[35, 35]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_village_maze_creatures	arbo_village	1	[]	[14, 29]	1	5	1	ActionZoneElement	0	16	systemWin	1	[14, 29]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_village_mazeguard	arbo_village	1	[]	[44, 34]	1	5	1	ActionZoneElement	0	16	systemWin	1	[44, 34]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_village_rooftop1	arbo_village	1	[]	[60, 145]	1	5	1	ActionZoneElement	0	16	systemWin	1	[60, 145]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_village_rooftop2	arbo_village	1	[]	[131, 101]	1	5	1	ActionZoneElement	0	16	systemWin	1	[131, 101]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_village_rooftop3	arbo_village	1	[]	[79, 80]	1	5	1	ActionZoneElement	0	16	systemWin	1	[79, 80]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_village_rooftop4	arbo_village	1	[]	[109, 172]	1	5	1	ActionZoneElement	0	16	systemWin	1	[109, 172]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_arenaicon	common	2	[#off, #on]	[31, 30]	1	5	1	ActionZoneExit	0	16	systemWin	1	[31, 30]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_artisoidmist_explosion	common	6	[]	[67, 68]	1	5	1	ActionZoneElement	0	16	systemWin	1	[67, 68]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_blinkinglights	common	2	[#off, #on]	[7, 7]	1	5	1	ActionZoneElement	0	16	systemWin	1	[7, 7]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_digits	common	10	[]	[10, 12]	1	5	1	ActionZoneElement	0	16	systemWin	1	[10, 12]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_divider	common	1	[]	[50, 47]	1	5	1	ActionZoneElement	0	16	systemWin	1	[50, 47]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_divider_piece	common	1	[]	[20, 44]	1	5	1	ActionZoneElement	0	16	systemWin	1	[20, 44]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_energywall	common	3	[]	[7, 220]	1	5	1	ActionZoneElement	0	16	systemWin	1	[7, 220]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_generatorenergywall	common	4	[]	[32, 53]	1	5	1	ActionZoneElement	0	16	systemWin	1	[32, 53]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_halfenergywall	common	3	[]	[7, 110]	1	5	1	ActionZoneElement	0	16	systemWin	1	[7, 110]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_hover_bike	common	1	[]	[14, 29]	1	5	1	ActionZoneElement	0	16	systemWin	0	[14, 29]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_item_artisoidmist	common	1	[]	[21, 19]	1	5	1	ActionZoneElement	0	16	systemWin	1	[21, 19]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_item_goggles	common	1	[]	[21, 19]	1	5	1	ActionZoneElement	0	16	systemWin	1	[21, 19]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_item_grapple	common	1	[]	[20, 21]	1	5	1	ActionZoneElement	0	16	systemWin	1	[20, 21]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_item_grenade	common	1	[]	[21, 19]	1	5	1	ActionZoneElement	0	16	systemWin	1	[21, 19]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_item_lasercutter	common	1	[]	[19, 19]	1	5	1	ActionZoneElement	0	16	systemWin	1	[19, 19]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_item_map	common	1	[]	[21, 19]	1	5	1	ActionZoneElement	0	16	systemWin	1	[21, 19]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_item_nightgoggles	common	1	[]	[22, 18]	1	5	1	ActionZoneElement	0	16	systemWin	1	[22, 18]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_item_quest	common	1	[]	[21, 19]	1	5	1	ActionZoneElement	0	16	systemWin	1	[21, 19]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_item_quorium	common	1	[]	[18, 17]	1	5	1	ActionZoneElement	0	16	systemWin	1	[18, 17]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_messagePending	common	1	[]	[18, 18]	1	5	1	ActionZoneElement	0	16	systemWin	1	[18, 18]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_portal	common	8	[]	[70, 70]	1	5	1	ActionZoneElement	0	16	systemWin	1	[70, 70]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_powerups	common	1	[]	[50, 50]	1	5	1	ActionZoneElement	0	16	systemWin	1	[50, 50]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_ramp_dummy	common	1	[]	[15, 15]	1	5	1	ActionZoneElement	0	16	systemWin	1	[15, 15]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_savespot	common	1	[]	[50, 50]	1	5	1	ActionZoneElement	0	16	systemWin	1	[50, 50]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_scoredot	common	1	[]	[6, 5]	1	5	1	ActionZoneElement	0	16	systemWin	1	[6, 5]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_shadow	common	1	[]	[40, 40]	1	5	1	ActionZoneElement	0	8	systemWin	0	[40, 40]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_steam	common	5	[]	[142, 140]	1	5	1	ActionZoneElement	0	8	systemWin	0	[142, 140]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_vision_cone	common	3	[]	[42, 90]	1	5	1	ActionZoneElement	0	8	systemWin	0	[42, 90]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_zone_character	common	1	[]	[15, 15]	0	5	5	ActionZoneNPCCharacter	0	16	systemWin	1	[100, 100]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_zoneexit	common	4	[]	[15, 44]	1	5	1	ActionZoneExit	0	16	systemWin	1	[15, 44]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_zoneexit_locked	common	1	[]	[15, 44]	1	5	1	ActionZoneExit	0	16	systemWin	1	[15, 44]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_arena_entrance	common_es	1	[]	[36, 59]	1	5	1	ActionZoneElement	0	16	systemWin	1	[36, 59]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_boulder_ice	common_es	1	[]	[52, 56]	1	5	1	ActionZoneElement	0	16	systemWin	1	[52, 56]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_boulder_rock	common_es	1	[]	[52, 56]	1	5	1	ActionZoneElement	0	16	systemWin	1	[52, 56]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_canopy	common_es	1	[]	[120, 84]	1	5	1	ActionZoneElement	0	16	systemWin	1	[120, 84]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_charInventory_item_disintegrator	common_es	1	[]	[21, 19]	1	5	1	ActionZoneElement	0	16	systemWin	1	[21, 19]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_es_charInventory_item_shard	common_es	1	[]	[21, 19]	1	5	1	ActionZoneElement	0	16	systemWin	1	[21, 19]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_es_crystal1_small	common_es	1	[]	[38, 34]	1	5	1	ActionZoneElement	0	16	systemWin	1	[38, 34]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_crystal2_small	common_es	1	[]	[38, 34]	1	5	1	ActionZoneElement	0	16	systemWin	1	[38, 34]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_crystal3_small	common_es	1	[]	[38, 34]	1	5	1	ActionZoneElement	0	16	systemWin	1	[38, 34]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_crystal4_small	common_es	1	[]	[38, 34]	1	5	1	ActionZoneElement	0	16	systemWin	1	[38, 34]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_crystal5_small	common_es	1	[]	[38, 34]	1	5	1	ActionZoneElement	0	16	systemWin	1	[38, 34]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_glow	common_es	1	[]	[50, 50]	0	5	1	ActionZoneElement	0	16	systemWin	1	[50, 50]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_es_glow_individual	common_es	1	[]	[30, 30]	1	5	1	ActionZoneElement	0	16	systemWin	1	[30, 30]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_es_ice_chunk1	common_es	1	[]	[68, 61]	1	5	1	ActionZoneElement	0	16	systemWin	1	[68, 61]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_ice_chunk2	common_es	1	[]	[91, 77]	1	5	1	ActionZoneElement	0	16	systemWin	1	[91, 77]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_ice_chunk3	common_es	1	[]	[38, 36]	1	5	1	ActionZoneElement	0	16	systemWin	1	[38, 36]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_item_charged_ice_orb	common_es	1	[]	[30, 30]	1	5	1	ActionZoneElement	0	16	systemWin	1	[30, 30]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_es_item_ice_orb	common_es	1	[]	[30, 30]	1	5	1	ActionZoneElement	0	16	systemWin	1	[30, 30]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_es_orbexplosion	common_es	4	[]	[25, 25]	1	5	1	ActionZoneElement	0	16	systemWin	1	[25, 25]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_snowbank1_lv1	common_es	1	[]	[108, 80]	1	5	1	ActionZoneElement	0	16	systemWin	1	[108, 80]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_snowbank1_lv2	common_es	1	[]	[108, 80]	1	5	1	ActionZoneElement	0	16	systemWin	1	[108, 80]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_snowbank2_lv1	common_es	1	[]	[56, 51]	1	5	1	ActionZoneElement	0	16	systemWin	1	[56, 51]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_snowbank2_lv2	common_es	1	[]	[56, 51]	1	5	1	ActionZoneElement	0	16	systemWin	1	[56, 51]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_snowbeast	common_es	1	[]	[100, 100]	0	5	40	ActionZoneElement	0	16	systemWin	1	[100, 100]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_es_subportals_onelli	common_es	2	[]	[59, 61]	1	5	1	ActionZoneElement	0	16	systemWin	1	[59, 61]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_subportals_onelli_locked	common_es	1	[]	[59, 61]	1	5	1	ActionZoneElement	0	16	systemWin	1	[59, 61]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_subportals_qarsiti	common_es	2	[]	[59, 61]	1	5	1	ActionZoneElement	0	16	systemWin	1	[59, 61]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_subportals_qarsiti_locked	common_es	1	[]	[59, 61]	1	5	1	ActionZoneElement	0	16	systemWin	1	[59, 61]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_toolbench	common_es	1	[]	[102, 43]	1	5	1	ActionZoneElement	0	16	systemWin	1	[102, 43]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_yurt_bounty1	common_es	1	[]	[113, 97]	1	5	1	ActionZoneElement	0	16	systemWin	1	[113, 97]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_yurt_bounty2	common_es	1	[]	[99, 97]	1	5	1	ActionZoneElement	0	16	systemWin	1	[99, 97]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_yurt1	common_es	1	[]	[89, 89]	1	5	1	ActionZoneElement	0	16	systemWin	1	[89, 89]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_yurt2	common_es	1	[]	[89, 114]	1	5	1	ActionZoneElement	0	16	systemWin	1	[89, 114]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_es_yurt3	common_es	1	[]	[97, 104]	1	5	1	ActionZoneElement	0	16	systemWin	1	[97, 104]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_kek_camera	common_kek	1	[]	[13, 13]	1	5	1	ActionZoneElement	0	16	systemWin	1	[13, 13]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_kek_charInventory_item_containment	common_kek	1	[]	[18, 18]	1	5	1	ActionZoneElement	0	16	systemWin	1	[18, 18]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_kek_charInventory_item_map	common_kek	1	[]	[21, 19]	1	5	1	ActionZoneElement	0	16	systemWin	1	[21, 19]	movieSetting	0	0	rgb( 255, 0, 0 )	
common_kek_junk_lg_1	common_kek	1	[]	[79, 81]	1	5	1	ActionZoneElement	0	16	systemWin	1	[79, 81]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_kek_junk_med_1	common_kek	1	[]	[53, 49]	1	5	1	ActionZoneElement	0	16	systemWin	1	[53, 49]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_kek_junk_sm_1	common_kek	1	[]	[30, 31]	1	5	1	ActionZoneElement	0	16	systemWin	1	[30, 31]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_kek_light_missle	common_kek	1	[]	[15, 15]	1	5	1	ActionZoneElement	0	16	systemWin	1	[5, 7]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_kek_manhole	common_kek	1	[]	[43, 33]	1	5	1	ActionZoneElement	0	16	systemWin	1	[43, 33]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_kek_manhole_locked	common_kek	1	[]	[43, 33]	1	5	1	ActionZoneElement	0	16	systemWin	1	[43, 33]	movieSetting	80	0	rgb( 255, 0, 0 )	
